"";"STATIONS_ID";"STATIONSNAME";"STATIONSHÖHE.IN.METERN";"AID";"dez_br";"dez_ln"
"1";3;"Aachen";202;1;50,7833333333333;6,08333333333333
"2";15000;"Aachen-Orsbach";231;1;50,7833333333333;6,01666666666667
"3";164;"Angermünde";54;1;53,0166666666667;13,9833333333333
"4";183;"Arkona";42;1;54,6666666666667;13,4333333333333
"5";232;"Augsburg";462;1;48,4166666666667;10,9333333333333
"6";282;"Bamberg";239;1;49,8666666666667;10,9
"7";402;"Berlin-Dahlem (LFAG)";55;1;52,7666666666667;13,5
"8";403;"Berlin-Dahlem (FU)";51;1;52,7666666666667;13,5
"9";430;"Berlin-Tegel";36;1;52,55;13,3
"10";433;"Berlin-Tempelhof";49;1;52,4666666666667;13,4
"11";691;"Bremen";5;1;53,0333333333333;8,78333333333333
"12";722;"Brocken";1142;1;51,8;10,6166666666667
"13";880;"Cottbus";69;1;51,7833333333333;14,3166666666667
"14";891;"Cuxhaven";5;1;53,8666666666667;8,7
"15";1048;"Dresden-Klotzsche";227;1;51,1166666666667;13,75
"16";1078;"Düsseldorf";37;1;51,2833333333333;6,76666666666667
"17";5839;"Emden-Flugplatz";0;1;53,3833333333333;7,23333333333333
"18";1270;"Erfurt-Weimar";316;1;50,9833333333333;10,95
"19";5516;"Fehmarn";3;1;54,5166666666667;11,05
"20";1346;"Feldberg/Schwarzwald";1490;1;47,8666666666667;8
"21";1358;"Fichtelberg";1213;1;50,4166666666667;12,95
"22";1420;"Frankfurt/Main";112;1;50,0333333333333;8,58333333333333
"23";1468;"Freudenstadt";797;1;48,45;8,4
"24";1504;"Fritzlar-Flugplatz";174;1;51,1166666666667;9,28333333333333
"25";5856;"Fürstenzell";476;1;48,5333333333333;13,35
"26";1612;"Gera-Leumnitz";311;1;50,8666666666667;12,1166666666667
"27";1639;"Gießen/Wettenberg";203;1;50,6;8,65
"28";1684;"Görlitz";238;1;51,15;14,95
"29";1757;"Greifswald";2;1;54,0833333333333;13,4
"30";1832;"Großer Arber";1436;1;49,1;13,1333333333333
"31";5871;"Hahn";497;1;49,9333333333333;7,25
"32";15526;"Hamburg (Deutsche Seewarte)";29;1;NA;NA
"33";1975;"Hamburg-Fuhlsbüttel";11;1;53,6333333333333;9,98333333333333
"34";2014;"Hannover";59;1;52,45;9,66666666666667
"35";2115;"Helgoland";4;1;54,1666666666667;7,88333333333333
"36";2261;"Hof";567;1;50,3;11,8666666666667
"37";2290;"Hohenpeißenberg";977;1;47,8;11
"38";2483;"Kahler Asten";839;1;51,1833333333333;8,48333333333333
"39";2522;"Karlsruhe";112;1;49,0333333333333;8,35
"40";2532;"Kassel";231;1;51,2833333333333;9,43333333333333
"41";2559;"Kempten";705;1;47,7166666666667;10,3333333333333
"42";2564;"Kiel-Holtenau";31;1;54,3666666666667;10,1333333333333
"43";2667;"Köln-Bonn";92;1;50,85;7,15
"44";2712;"Konstanz";443;1;47,6666666666667;9,18333333333333
"45";2812;"Lahr";155;1;48,35;7,81666666666667
"46";2932;"Leipzig/Halle";131;1;51,4333333333333;12,2333333333333
"47";102;"Leuchtturm Alte Weser";32;1;53,85;8,11666666666667
"48";2961;"Leuchtturm Kiel";5;1;54,5;10,2666666666667
"49";3015;"Lindenberg";112;1;52,2;14,1166666666667
"50";3028;"Lippspringe, Bad";157;1;51,7833333333333;8,83333333333333
"51";3032;"List/Sylt";26;1;55;8,4
"52";3126;"Magdeburg";76;1;52,1;11,5833333333333
"53";5906;"Mannheim";96;1;49,5;8,55
"54";3196;"Marnitz";81;1;53,3166666666667;11,9333333333333
"55";3231;"Meiningen";450;1;50,55;10,3666666666667
"56";1262;"München-Flughafen";444;1;48,3666666666667;11,8166666666667
"57";1766;"Münster/Osnabrück";48;1;52,1333333333333;7,7
"58";3552;"Neuruppin";38;1;52,9;12,8
"59";3631;"Norderney";11;1;53,7;7,15
"60";3660;"Nürburg-Barweiler";485;1;50,3666666666667;6,86666666666667
"61";3668;"Nürnberg";314;1;49,5;11,05
"62";3730;"Oberstdorf";806;1;47,3833333333333;10,2666666666667
"63";7341;"Offenbach-Wetterpark";119;1;50,0833333333333;8,78333333333333
"64";3761;"Öhringen";276;1;49,2;9,51666666666667
"65";3987;"Potsdam";81;1;52,3833333333333;13,05
"66";4104;"Regensburg";365;1;49,0333333333333;12,1
"67";4177;"Rheinstetten";116;1;48,9666666666667;8,33333333333333
"68";4271;"Rostock-Warnemünde";4;1;54,0166666666667;12,0666666666667
"69";4336;"Saarbrücken/Ensheim";320;1;49,2;7,1
"70";4466;"Schleswig";47;1;54,5166666666667;9,53333333333333
"71";4625;"Schwerin";59;1;53,6333333333333;11,3833333333333
"72";4887;"Stötten";734;1;48,6666666666667;9,85
"73";4911;"Straubing";351;1;48,8166666666667;12,55
"74";4931;"Stuttgart/Echterdingen";371;1;48,6833333333333;9,21666666666667
"75";5100;"Trier-Petrisberg";265;1;49,7333333333333;6,65
"76";954;"UFS Deutsche Bucht";0;1;54,1666666666667;7,45
"77";1228;"UFS TW Ems";0;1;54,1666666666667;6,35
"78";5371;"Wasserkuppe";921;1;50,4833333333333;9,93333333333333
"79";5397;"Weiden";440;1;49,6666666666667;12,1833333333333
"80";5467;"Wendelstein";1832;1;47,7;12
"81";5705;"Würzburg";268;1;49,7666666666667;9,95
"82";5792;"Zugspitze";2960;1;47,4166666666667;10,9833333333333
